,date,variable,generation_twh
China,01/11/2017,Coal,366.91
China,01/11/2017,Fossil,383.49
China,01/11/2017,Gas,14.71
China,01/11/2017,Hydro,86.63
China,01/11/2017,Nuclear,22.34
China,01/11/2017,Other Fossil,1.87
China,01/11/2017,Solar,11.32
China,01/11/2017,Wind,32.19
China,01/11/2017,Wind and solar,43.51
China,01/12/2017,Bioenergy,7.44
China,01/12/2017,Clean,143.15
China,01/12/2017,Coal,428.07
China,01/12/2017,Fossil,447.41
China,01/12/2017,Gas,17.16
China,01/12/2017,Hydro,72.4
China,01/12/2017,Nuclear,22.18
China,01/12/2017,Other Fossil,2.18
China,01/12/2017,Solar,10.1
China,01/12/2017,Wind,31.03
China,01/12/2017,Wind and solar,41.13
China,01/01/2018,Bioenergy,7.4
China,01/01/2018,Clean,134.05
China,01/01/2018,Coal,388.07
China,01/01/2018,Fossil,406.9
China,01/01/2018,Gas,16.91
China,01/01/2018,Hydro,63.42
China,01/01/2018,Nuclear,19.66
China,01/01/2018,Other Fossil,1.92
China,01/01/2018,Solar,11.77
China,01/01/2018,Wind,31.8
China,01/01/2018,Wind and solar,43.57
China,01/02/2018,Bioenergy,7.4
China,01/02/2018,Clean,134.1
China,01/02/2018,Coal,388.07
China,01/02/2018,Fossil,406.9
China,01/02/2018,Gas,16.91
China,01/02/2018,Hydro,63.42
China,01/02/2018,Nuclear,19.66
China,01/02/2018,Other Fossil,1.92
China,01/02/2018,Solar,11.83
China,01/02/2018,Wind,31.79
China,01/02/2018,Wind and solar,43.62
China,01/03/2018,Bioenergy,7.35
China,01/03/2018,Clean,145.36
China,01/03/2018,Coal,385.78
China,01/03/2018,Fossil,404.5
China,01/03/2018,Gas,16.81
China,01/03/2018,Hydro,66.27
China,01/03/2018,Nuclear,21.76
China,01/03/2018,Other Fossil,1.91
China,01/03/2018,Solar,15
China,01/03/2018,Wind,34.98
China,01/03/2018,Wind and solar,49.98
China,01/04/2018,Bioenergy,6.95
China,01/04/2018,Clean,151.64
China,01/04/2018,Coal,364.75
China,01/04/2018,Fossil,382.44
China,01/04/2018,Gas,15.89
China,01/04/2018,Hydro,70.14
China,01/04/2018,Nuclear,21.58
China,01/04/2018,Other Fossil,1.8
China,01/04/2018,Solar,15.39
China,01/04/2018,Wind,37.58
China,01/04/2018,Wind and solar,52.97
China,01/05/2018,Bioenergy,7.19
China,01/05/2018,Clean,171.58
China,01/05/2018,Coal,377.3
China,01/05/2018,Fossil,395.61
China,01/05/2018,Gas,16.44
China,01/05/2018,Hydro,92.52
China,01/05/2018,Nuclear,23.57
China,01/05/2018,Other Fossil,1.87
China,01/05/2018,Solar,15.77
China,01/05/2018,Wind,32.53
China,01/05/2018,Wind and solar,48.3
China,01/06/2018,Bioenergy,7.23
China,01/06/2018,Clean,179.1
China,01/06/2018,Coal,379.17
China,01/06/2018,Fossil,397.57
China,01/06/2018,Gas,16.52
China,01/06/2018,Hydro,106.28
China,01/06/2018,Nuclear,23.74
China,01/06/2018,Other Fossil,1.88
China,01/06/2018,Solar,16.21
China,01/06/2018,Wind,25.64
China,01/06/2018,Wind and solar,41.85
China,01/07/2018,Bioenergy,8.28
China,01/07/2018,Clean,206.29
China,01/07/2018,Coal,434.32
China,01/07/2018,Fossil,455.39
China,01/07/2018,Gas,18.92
China,01/07/2018,Hydro,129.29
China,01/07/2018,Nuclear,26.49
China,01/07/2018,Other Fossil,2.15
China,01/07/2018,Solar,16.09
China,01/07/2018,Wind,26.14
China,01/07/2018,Wind and solar,42.23
China,01/08/2018,Bioenergy,8.45
China,01/08/2018,Clean,200.34
China,01/08/2018,Coal,443.36
China,01/08/2018,Fossil,464.87
China,01/08/2018,Gas,19.32
China,01/08/2018,Hydro,127.41
China,01/08/2018,Nuclear,27.1
China,01/08/2018,Other Fossil,2.19
China,01/08/2018,Solar,16.29
China,01/08/2018,Wind,21.09
China,01/08/2018,Wind and solar,37.38
China,01/09/2018,Bioenergy,6.99
China,01/09/2018,Clean,188.24
China,01/09/2018,Coal,366.69
China,01/09/2018,Fossil,384.48
China,01/09/2018,Gas,15.98
China,01/09/2018,Hydro,114.21
China,01/09/2018,Nuclear,25.17
China,01/09/2018,Other Fossil,1.81
China,01/09/2018,Solar,15.47
China,01/09/2018,Wind,26.4
China,01/09/2018,Wind and solar,41.87
China,01/10/2018,Bioenergy,6.69
China,01/10/2018,Clean,190.49
China,01/10/2018,Coal,351.11
China,01/10/2018,Fossil,368.15
China,01/10/2018,Gas,15.3
China,01/10/2018,Hydro,112.01
China,01/10/2018,Nuclear,27.29
China,01/10/2018,Other Fossil,1.74
China,01/10/2018,Solar,16.12
China,01/10/2018,Wind,28.38
China,01/10/2018,Wind and solar,44.5
China,01/11/2018,Bioenergy,7.4
China,01/11/2018,Clean,167.99
China,01/11/2018,Coal,388.06
China,01/11/2018,Fossil,406.89
China,01/11/2018,Gas,16.91
China,01/11/2018,Hydro,87.63
China,01/11/2018,Nuclear,28.32
China,01/11/2018,Other Fossil,1.92
China,01/11/2018,Solar,14.26
China,01/11/2018,Wind,30.38
China,01/11/2018,Wind and solar,44.64
China,01/12/2018,Bioenergy,8.72
China,01/12/2018,Clean,161.51
China,01/12/2018,Coal,457.7
China,01/12/2018,Fossil,479.9
China,01/12/2018,Gas,19.94
China,01/12/2018,Hydro,71.86
China,01/12/2018,Nuclear,29.13
China,01/12/2018,Other Fossil,2.26
China,01/12/2018,Solar,12.7
China,01/12/2018,Wind,39.1
